paru_many
testing 1405 matrices:
   1 2758: Mycielski/mycielskian2 nz 2
   2 2759: Mycielski/mycielskian3 nz 10
   3  449: Grund/b1_ss nz 15
   4  904: vanHeukelum/cage3 nz 19
   5 1526: Pajek/Tina_AskCog nz 36
   6 2760: Mycielski/mycielskian4 nz 40
   7  905: vanHeukelum/cage4 nz 49
   8 1524: Pajek/Stranke94 nz 90
   9 1199: Hamrle/Hamrle1 nz 98
  10  168: HB/ibm32 nz 126
  11 2761: Mycielski/mycielskian5 nz 142
  12  464: Grund/d_ss nz 144
  13  232: HB/pores_1 nz 180
  14  462: Grund/d_dyn nz 230
  15  463: Grund/d_dyn1 nz 232
  16  906: vanHeukelum/cage5 nz 233
  17  172: HB/impcol_b nz 271
  18 1487: Pajek/GD95_c nz 287
  19  262: HB/west0067 nz 294
  20  861: MathWorks/pivtol nz 306
  21  253: HB/steam3 nz 314
  22  296: Bai/bfwb62 nz 342
  23  318: Bai/olm100 nz 396
  24  337: Bai/tub100 nz 396
  25  173: HB/impcol_c nz 400
  26  263: HB/west0132 nz 413
  27  161: HB/gre_115 nz 421
  28  293: Bai/bfwa62 nz 450
  29 2762: Mycielski/mycielskian6 nz 472
  30  334: Bai/rw136 nz 479
  31  265: HB/west0167 nz 506
  32  188: HB/lns_131 nz 536
  33  192: HB/lnsp_131 nz 536
  34  171: HB/impcol_a nz 572
  35 2194: JGD_SPG/08blocks nz 592
  36 1195: Rajat/rajat11 nz 665
  37 1326: Morandini/rotor1 nz 708
  38  907: vanHeukelum/cage6 nz 785
  39  298: Bai/bwm200 nz 796
  40  163: HB/gre_216a nz 812
  41  164: HB/gre_216b nz 812
  42 1325: Morandini/robot nz 870
  43 2403: Newman/polbooks nz 882
  44 2734: VDOL/spaceStation_1 nz 927
  45  313: Bai/lop163 nz 935
  46  162: HB/gre_185 nz 975
  47  306: Bai/ck104 nz 992
  48  141: HB/fs_183_1 nz 998
  49  144: HB/fs_183_6 nz 1000
  50 1943: JGD_CAG/CAG_mat72 nz 1012
  51    6: HB/arc130 nz 1037
  52  323: Bai/pde225 nz 1065
  53  142: HB/fs_183_3 nz 1069
  54  143: HB/fs_183_4 nz 1069
  55 1630: Bai/rdb200 nz 1120
  56 1631: Bai/rdb200l nz 1120
