14 14 46
1	1	1.57088
4	1	-94.2528
5	1	0.78544
2	2	12566400
6	2	-6283200
3	3	0.608806201550388
7	3	-0.304403100775194
1	4	-94.2528
4	4	15080.448
8	4	-7540.224
9	4	94.2528
1	5	0.78544
5	5	3.14176
8	5	-94.2528
9	5	0.78544
2	6	-6283200
6	6	12566400
10	6	-6283200
3	7	-0.304403100775194
7	7	0.608806201550388
11	7	-0.304403100775194
4	8	-7540.224
5	8	-94.2528
8	8	15080.448
12	8	-7540.224
13	8	94.2528
4	9	94.2528
5	9	0.78544
9	9	3.14176
12	9	-94.2528
13	9	0.78544
6	10	-6283200
10	10	12566400
7	11	-0.304403100775194
11	11	0.608806201550388
8	12	-7540.224
9	12	-94.2528
12	12	15080.448
14	12	94.2528
8	13	94.2528
9	13	0.78544
13	13	3.14176
14	13	0.78544
12	14	94.2528
13	14	0.78544
14	14	1.57088
